Product ID,Published Stock Code,Product Type,Product Category,Original Publication Date,Published in US,Published in Mexico,Published in India,Published in China,Published in UK,Published in Germany,Published in Italy,Published in Spain,Published in France,Revision,Outside Diameter - Build Spec. (in),Outside Diameter (in),Outside Diameter (mm),Outside Diameter (cm),Outside Diameter Tolerance - Build Spec. (in),Outside Diameter Tolerance (in),Outside Diameter Tolerance (mm),Outside Diameter Tolerance (cm),Free Length - Build Spec. (in),Free Length (in),Free Length (mm),Free Length (cm),Free Length Tolerance - Build Spec. (in),Free Length Tolerance (in),Free Length Tolerance (mm),Free Length Tolerance (cm),Rate - Build Spec. (lb/in),Rate (lb/in),Rate (N/mm),Rate (N/cm),Rate (kg/mm),Rate (kg/cm),Rate (gm/mm),Rate (gm/cm),Rate Tolerance - Build Spec. (lb/in),Rate Tolerance (lb/in),Rate Tolerance (N/mm),Rate Tolerance (N/cm),Rate Tolerance (kg/mm),Rate Tolerance (kg/cm),Rate Tolerance (gm/mm),Rate Tolerance (gm/cm),Wire Diameter - Build Spec. (in),Wire Diameter (in),Wire Diameter (mm),Material,Ends,Direction of Wind,Total Coils - Build Spec.,Total Coils,Finish,Product Series,Material Specification,Inside Diameter - Build Spec. (in),Inside Diameter (in),Inside Diameter (mm),Inside Diameter (cm),Inside Diameter Tolerance - Build Spec. (in),Inside Diameter Tolerance (in),Inside Diameter Tolerance (mm),Inside Diameter Tolerance (cm),Eyelet Inner Diameter - Build Spec. (inch),Eyelet Inner Diameter (in),Eyelet Inner Diameter (mm),Eyelet Inner Diameter (cm),Eyelet Inner Diameter Tolerance - Build Spec. (in),Eyelet Inner Diameter Tolerance (in),Eyelet Inner Diameter Tolerance (mm),Eyelet Inner Diameter Tolerance (cm),Center to Center/End Length - Build Spec. (in),Center to Center/End Length (in),Center to Center/End Length (mm),Center to Center/End Length (cm),Center to Center/End Len Toler. - Build Spec. (in),Center to Center/End Length Tolerance (in),Center to Center/End Length Tolerance (mm),Center to Center/End Length Tolerance (cm),Outside Diameter Base - Build Spec. (in),Outside Diameter Base (in),Outside Diameter Base (mm),Outside Diameter Base (cm),Outside Diameter Base Tolerance - Build Spec. (in),Outside Diameter Base Tolerance (in),Outside Diameter Base Tolerance (mm),Outside Diameter Base Tolerance (cm),Approximate Load - Build Spec. (lb),Approximate Load (lb),Approximate Load (N),Approximate Load (kg),Approximate Load (gm),Approximate Load Tolerance - Build Spec. (lb),Approximate Load Tolerance (lb),Approximate Load Tolerance (N),Approximate Load Tolerance (kg),Approximate Load Tolerance (gm),@ Installed Height - Build Spec. (in),@ Installed Height (in),@ Installed Height (mm),@ Installed Height (cm),Battery Size,Spring Mounting,Weight per Item (lb)
LB 024A 01 AA,LB024A01AA,Specialty Spring,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.268,0.268,6.81,0.681,Reference,Reference,Reference,Reference,0.44,0.44,11.18,1.118,0.015,0.015,0.38,0.038,5.872,5.872,1.028,10.28,0.1049,1.049,104.86,1048.6,Reference,Reference,Reference,Reference,Reference,Reference,Reference,Reference,0.024,0.024,0.61,Nickel Coated Music Wire,Squared,Factory Option,4.62,4.62,Pre-coated with Nickel,Battery Spring,ASTM A228,0.22,0.22,5.59,0.559,+/-0.004,+/-0.004,+/-0.1,+/-0.01,0.109,0.109,2.77,0.277,Minimum,Minimum,Minimum,Minimum,,,,,,,,,0.39,0.39,9.91,0.991,+/-0.008,+/-0.008,+/-0.008,+/-0.008,1.75,1.75,7.784,0.794,794,+/-0.35,+/-0.35,+/-1.557,+/-0.159,+/-159,0.142,0.142,3.61,0.361,AA,Interior Mount,0.00078
LB 024A 01 AAA,LB024A01AAA,Specialty Spring,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.208,0.208,5.28,0.528,Reference,Reference,Reference,Reference,0.355,0.355,9.02,0.902,0.015,0.015,0.38,0.038,9.375,9.375,1.642,16.42,0.1674,1.674,167.42,1674.2,Reference,Reference,Reference,Reference,Reference,Reference,Reference,Reference,0.024,0.024,0.61,Nickel Coated Music Wire,Squared,Factory Option,4.53,4.53,Pre-coated with Nickel,Battery Spring,ASTM A228,0.16,0.16,4.06,0.406,+/-0.004,+/-0.004,+/-0.1,+/-0.01,0.109,0.109,2.77,0.277,Minimum,Minimum,Minimum,Minimum,,,,,,,,,0.36,0.36,9.14,0.914,+/-0.008,+/-0.008,+/-0.008,+/-0.008,1.5,1.5,6.672,0.68,680,+/-0.3,+/-0.3,+/-1.334,+/-0.136,+/-136,0.195,0.195,4.95,0.495,AAA,Interior Mount,0.00065
LB 024B 01 AA,LB024B01AA,Specialty Spring,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.268,0.268,6.81,0.681,Reference,Reference,Reference,Reference,0.44,0.44,11.18,1.118,0.015,0.015,0.38,0.038,5.872,5.872,1.028,10.28,0.1049,1.049,104.86,1048.6,Reference,Reference,Reference,Reference,Reference,Reference,Reference,Reference,0.024,0.024,0.61,Nickel Coated Music Wire,Squared,Factory Option,4.62,4.62,Pre-coated with Nickel,Battery Spring,ASTM A228,0.22,0.22,5.59,0.559,+/-0.004,+/-0.004,+/-0.1,+/-0.01,0.109,0.109,2.77,0.277,Minimum,Minimum,Minimum,Minimum,0.545,0.545,13.84,1.384,Reference,Reference,Reference,Reference,0.39,0.39,9.91,0.991,+/-0.008,+/-0.008,+/-0.008,+/-0.008,1.75,1.75,7.784,0.794,794,+/-0.35,+/-0.35,+/-1.557,+/-0.159,+/-159,0.142,0.142,3.61,0.361,AA,Exterior Mount,0.00086
LB 024B 01 AAA,LB024B01AAA,Specialty Spring,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.208,0.208,5.28,0.528,Reference,Reference,Reference,Reference,0.355,0.355,9.02,0.902,0.015,0.015,0.38,0.038,9.375,9.375,1.642,16.42,0.1674,1.674,167.42,1674.2,Reference,Reference,Reference,Reference,Reference,Reference,Reference,Reference,0.024,0.024,0.61,Nickel Coated Music Wire,Squared,Factory Option,4.53,4.53,Pre-coated with Nickel,Battery Spring,ASTM A228,0.16,0.16,4.06,0.406,+/-0.004,+/-0.004,+/-0.1,+/-0.01,0.109,0.109,2.77,0.277,Minimum,Minimum,Minimum,Minimum,0.478,0.478,12.14,1.214,Reference,Reference,Reference,Reference,0.36,0.36,9.14,0.914,+/-0.008,+/-0.008,+/-0.008,+/-0.008,1.5,1.5,6.672,0.68,680,+/-0.3,+/-0.3,+/-1.334,+/-0.136,+/-136,0.195,0.195,4.95,0.495,AAA,Exterior Mount,0.00073
LB 024C 01 AA,LB024C01AA,Specialty Spring,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.268,0.268,6.81,0.681,Reference,Reference,Reference,Reference,0.44,0.44,11.18,1.118,0.015,0.015,0.38,0.038,5.872,5.872,1.028,10.28,0.1049,1.049,104.86,1048.6,Reference,Reference,Reference,Reference,Reference,Reference,Reference,Reference,0.024,0.024,0.61,Nickel Coated Music Wire,Squared,Factory Option,4.62,4.62,Pre-coated with Nickel,Battery Spring,ASTM A228,0.22,0.22,5.59,0.559,+/-0.004,+/-0.004,+/-0.1,+/-0.01,,,,,,,,,3,3,76.2,7.62,Reference,Reference,Reference,Reference,0.39,0.39,9.91,0.991,+/-0.008,+/-0.008,+/-0.008,+/-0.008,1.75,1.75,7.784,0.794,794,+/-0.35,+/-0.35,+/-1.557,+/-0.159,+/-159,0.142,0.142,3.61,0.361,AA,Adaptable Mount,0.00086
LB 024C 01 AAA,LB024C01AAA,Specialty Spring,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.208,0.208,5.28,0.528,Reference,Reference,Reference,Reference,0.355,0.355,9.02,0.902,0.015,0.015,0.38,0.038,9.375,9.375,1.642,16.42,0.1674,1.674,167.42,1674.2,Reference,Reference,Reference,Reference,Reference,Reference,Reference,Reference,0.024,0.024,0.61,Nickel Coated Music Wire,Squared,Factory Option,4.53,4.53,Pre-coated with Nickel,Battery Spring,ASTM A228,0.16,0.16,4.06,0.406,+/-0.004,+/-0.004,+/-0.1,+/-0.01,,,,,,,,,3,3,76.2,7.62,Reference,Reference,Reference,Reference,0.36,0.36,9.14,0.914,+/-0.008,+/-0.008,+/-0.008,+/-0.008,1.5,1.5,6.672,0.68,680,+/-0.3,+/-0.3,+/-1.334,+/-0.136,+/-136,0.195,0.195,4.95,0.495,AAA,Adaptable Mount,0.00073
LB 024D 01 AA,LB024D01AA,Specialty Spring,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.268,0.268,6.81,0.681,Reference,Reference,Reference,Reference,0.44,0.44,11.18,1.118,0.015,0.015,0.38,0.038,5.872,5.872,1.028,10.28,0.1049,1.049,104.86,1048.6,Reference,Reference,Reference,Reference,Reference,Reference,Reference,Reference,0.024,0.024,0.61,Nickel Coated Music Wire,Squared,Factory Option,4.62,4.62,Pre-coated with Nickel,Battery Spring,ASTM A228,0.22,0.22,5.59,0.559,+/-0.004,+/-0.004,+/-0.1,+/-0.01,,,,,,,,,0.62,0.62,15.75,1.575,Reference,Reference,Reference,Reference,0.39,0.39,9.91,0.991,+/-0.008,+/-0.008,+/-0.008,+/-0.008,1.75,1.75,7.784,0.794,794,+/-0.35,+/-0.35,+/-1.557,+/-0.159,+/-159,0.142,0.142,3.61,0.361,AA,Double Mount,0.00152
LB 024D 01 AAA,LB024D01AAA,Specialty Spring,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.208,0.208,5.28,0.528,Reference,Reference,Reference,Reference,0.355,0.355,9.02,0.902,0.015,0.015,0.38,0.038,9.375,9.375,1.642,16.42,0.1674,1.674,167.42,1674.2,Reference,Reference,Reference,Reference,Reference,Reference,Reference,Reference,0.024,0.024,0.61,Nickel Coated Music Wire,Squared,Factory Option,4.53,4.53,Pre-coated with Nickel,Battery Spring,ASTM A228,0.16,0.16,4.06,0.406,+/-0.004,+/-0.004,+/-0.1,+/-0.01,,,,,,,,,0.466,0.466,11.84,1.184,Reference,Reference,Reference,Reference,0.36,0.36,9.14,0.914,+/-0.008,+/-0.008,+/-0.008,+/-0.008,1.5,1.5,6.672,0.68,680,+/-0.3,+/-0.3,+/-1.334,+/-0.136,+/-136,0.195,0.195,4.95,0.495,AAA,Double Mount,0.00126
LB 032A 01 C,LB032A01C,Specialty Spring,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.394,0.394,10.01,1.001,Reference,Reference,Reference,Reference,0.52,0.52,13.21,1.321,0.02,0.02,0.51,0.051,5.556,5.556,0.973,9.73,0.0992,0.992,99.22,992.2,Reference,Reference,Reference,Reference,Reference,Reference,Reference,Reference,0.032,0.032,0.81,Nickel Coated Music Wire,Squared,Factory Option,5.1,5.1,Pre-coated with Nickel,Battery Spring,ASTM A228,0.33,0.33,8.38,0.838,+/-0.008,+/-0.008,+/-0.2,+/-0.02,0.173,0.173,4.39,0.439,Minimum,Minimum,Minimum,Minimum,,,,,,,,,0.54,0.54,13.72,1.372,+/-0.015,+/-0.015,+/-0.015,+/-0.015,1,1,4.448,0.454,454,+/-0.2,+/-0.2,+/-0.89,+/-0.091,+/-91,0.34,0.34,8.64,0.864,C,Interior Mount,0.00195
LB 032B 01 C,LB032B01C,Specialty Spring,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.394,0.394,10.01,1.001,Reference,Reference,Reference,Reference,0.52,0.52,13.21,1.321,0.02,0.02,0.51,0.051,5.556,5.556,0.973,9.73,0.0992,0.992,99.22,992.2,Reference,Reference,Reference,Reference,Reference,Reference,Reference,Reference,0.032,0.032,0.81,Nickel Coated Music Wire,Squared,Factory Option,5.1,5.1,Pre-coated with Nickel,Battery Spring,ASTM A228,0.33,0.33,8.38,0.838,+/-0.008,+/-0.008,+/-0.2,+/-0.02,0.174,0.174,4.42,0.442,Minimum,Minimum,Minimum,Minimum,0.984,0.984,24.99,2.499,Reference,Reference,Reference,Reference,0.54,0.54,13.72,1.372,+/-0.015,+/-0.015,+/-0.015,+/-0.015,1,1,4.448,0.454,454,+/-0.2,+/-0.2,+/-0.89,+/-0.091,+/-91,0.34,0.34,8.64,0.864,C,Exterior Mount,0.00212
LB 032C 01 C,LB032C01C,Specialty Spring,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.394,0.394,10.01,1.001,Reference,Reference,Reference,Reference,0.52,0.52,13.21,1.321,0.02,0.02,0.51,0.051,5.556,5.556,0.973,9.73,0.0992,0.992,99.22,992.2,Reference,Reference,Reference,Reference,Reference,Reference,Reference,Reference,0.032,0.032,0.81,Nickel Coated Music Wire,Squared,Factory Option,5.1,5.1,Pre-coated with Nickel,Battery Spring,ASTM A228,0.33,0.33,8.38,0.838,+/-0.008,+/-0.008,+/-0.2,+/-0.02,,,,,,,,,3,3,76.2,7.62,Reference,Reference,Reference,Reference,0.54,0.54,13.72,1.372,+/-0.015,+/-0.015,+/-0.015,+/-0.015,1,1,4.448,0.454,454,+/-0.2,+/-0.2,+/-0.89,+/-0.091,+/-91,0.34,0.34,8.64,0.864,C,Adaptable Mount,0.00212
LB 032D 01 C,LB032D01C,Specialty Spring,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.394,0.394,10.01,1.001,Reference,Reference,Reference,Reference,0.52,0.52,13.21,1.321,0.02,0.02,0.51,0.051,5.556,5.556,0.973,9.73,0.0992,0.992,99.22,992.2,Reference,Reference,Reference,Reference,Reference,Reference,Reference,Reference,0.032,0.032,0.81,Nickel Coated Music Wire,Squared,Factory Option,5.1,5.1,Pre-coated with Nickel,Battery Spring,ASTM A228,0.33,0.33,8.38,0.838,+/-0.008,+/-0.008,+/-0.2,+/-0.02,,,,,,,,,1.07,1.07,27.18,2.718,Reference,Reference,Reference,Reference,0.54,0.54,13.72,1.372,+/-0.015,+/-0.015,+/-0.015,+/-0.015,1,1,4.448,0.454,454,+/-0.2,+/-0.2,+/-0.89,+/-0.091,+/-91,0.34,0.34,8.64,0.864,C,Double Mount,0.003695
LB 036A 01 D,LB036A01D,Specialty Spring,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.432,0.432,10.97,1.097,Reference,Reference,Reference,Reference,0.72,0.72,18.29,1.829,0.02,0.02,0.51,0.051,5.505,5.505,0.964,9.64,0.0983,0.983,98.31,983.1,Reference,Reference,Reference,Reference,Reference,Reference,Reference,Reference,0.036,0.036,0.91,Nickel Coated Music Wire,Squared,Factory Option,5.04,5.04,Pre-coated with Nickel,Battery Spring,ASTM A228,0.36,0.36,9.14,0.914,+/-0.008,+/-0.008,+/-0.2,+/-0.02,0.174,0.174,4.42,0.442,Minimum,Minimum,Minimum,Minimum,,,,,,,,,0.66,0.66,16.76,1.676,+/-0.015,+/-0.015,+/-0.015,+/-0.015,3,3,13.345,1.361,1361,+/-0.6,+/-0.6,+/-2.669,+/-0.272,+/-272,0.175,0.175,4.45,0.445,D,Interior Mount,0.00316
LB 036B 01 D,LB036B01D,Specialty Spring,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.432,0.432,10.97,1.097,Reference,Reference,Reference,Reference,0.72,0.72,18.29,1.829,0.02,0.02,0.51,0.051,5.505,5.505,0.964,9.64,0.0983,0.983,98.31,983.1,Reference,Reference,Reference,Reference,Reference,Reference,Reference,Reference,0.036,0.036,0.91,Nickel Coated Music Wire,Squared,Factory Option,5.04,5.04,Pre-coated with Nickel,Battery Spring,ASTM A228,0.36,0.36,9.14,0.914,+/-0.008,+/-0.008,+/-0.2,+/-0.02,0.174,0.174,4.42,0.442,Minimum,Minimum,Minimum,Minimum,1.218,1.218,30.94,3.094,Reference,Reference,Reference,Reference,0.66,0.66,16.76,1.676,+/-0.015,+/-0.015,+/-0.015,+/-0.015,3,3,13.345,1.361,1361,+/-0.6,+/-0.6,+/-2.669,+/-0.272,+/-272,0.175,0.175,4.45,0.445,D,Exterior Mount,0.0034
